#1
double DTIE(8761,2)
0 0.0
1800 7.014583333333334e-07
5400 7.338333333333334e-07
9000 0.0
12600 0.0
16200 0.0
19800 3.129583333333333e-07
23400 1.7482500000000002e-06
27000 3.6799583333333336e-06
30600 1.9425e-06
34200 1.7266666666666668e-07
37800 1.068375e-06
41400 2.2770416666666663e-06
45000 2.1691249999999998e-06
48600 2.363375e-06
52200 1.1223333333333334e-06
55800 7.554166666666667e-07
59400 6.79875e-07
63000 6.79875e-07
66600 2.082791666666667e-06
70200 8.741250000000001e-07
73800 1.6295416666666668e-06
77400 1.7266666666666668e-07
81000 3.669166666666667e-07
84600 3.669166666666667e-07
88200 7.014583333333334e-07
91800 7.338333333333334e-07
95400 0.0
99000 0.0
102600 0.0
106200 3.129583333333333e-07
109800 1.7482500000000002e-06
113400 3.6799583333333336e-06
117000 1.9425e-06
120600 1.7266666666666668e-07
124200 1.068375e-06
127800 2.2770416666666663e-06
131400 2.1691249999999998e-06
135000 2.363375e-06
138600 1.1223333333333334e-06
142200 7.554166666666667e-07
145800 6.79875e-07
149400 6.79875e-07
153000 2.082791666666667e-06
156600 8.741250000000001e-07
160200 1.6295416666666668e-06
163800 1.7266666666666668e-07
167400 3.669166666666667e-07
171000 3.669166666666667e-07
174600 7.014583333333334e-07
178200 7.338333333333334e-07
181800 0.0
185400 0.0
189000 0.0
192600 3.129583333333333e-07
196200 1.7482500000000002e-06
199800 3.6799583333333336e-06
203400 1.9425e-06
207000 1.7266666666666668e-07
210600 1.068375e-06
214200 2.2770416666666663e-06
217800 2.1691249999999998e-06
221400 2.363375e-06
225000 1.1223333333333334e-06
228600 7.554166666666667e-07
232200 6.79875e-07
235800 6.79875e-07
239400 2.082791666666667e-06
243000 8.741250000000001e-07
246600 1.6295416666666668e-06
250200 1.7266666666666668e-07
253800 3.669166666666667e-07
257400 3.669166666666667e-07
261000 7.014583333333334e-07
264600 7.338333333333334e-07
268200 0.0
271800 0.0
275400 0.0
279000 3.129583333333333e-07
282600 1.7482500000000002e-06
286200 3.6799583333333336e-06
289800 1.9425e-06
293400 1.7266666666666668e-07
297000 1.068375e-06
300600 2.2770416666666663e-06
304200 2.1691249999999998e-06
307800 2.363375e-06
311400 1.1223333333333334e-06
315000 7.554166666666667e-07
318600 6.79875e-07
322200 6.79875e-07
325800 2.082791666666667e-06
329400 8.741250000000001e-07
333000 1.6295416666666668e-06
336600 1.7266666666666668e-07
340200 3.669166666666667e-07
343800 3.669166666666667e-07
347400 7.014583333333334e-07
351000 7.338333333333334e-07
354600 0.0
358200 0.0
361800 0.0
365400 3.129583333333333e-07
369000 1.7482500000000002e-06
372600 3.6799583333333336e-06
376200 1.9425e-06
379800 1.7266666666666668e-07
383400 1.068375e-06
387000 2.2770416666666663e-06
390600 2.1691249999999998e-06
394200 2.363375e-06
397800 1.1223333333333334e-06
401400 7.554166666666667e-07
405000 6.79875e-07
408600 6.79875e-07
412200 2.082791666666667e-06
415800 8.741250000000001e-07
419400 1.6295416666666668e-06
423000 1.7266666666666668e-07
426600 3.669166666666667e-07
430200 3.669166666666667e-07
433800 7.014583333333334e-07
437400 7.338333333333334e-07
441000 0.0
444600 0.0
448200 0.0
451800 3.129583333333333e-07
455400 1.7482500000000002e-06
459000 3.6799583333333336e-06
462600 1.9425e-06
466200 1.7266666666666668e-07
469800 1.068375e-06
473400 2.2770416666666663e-06
477000 2.1691249999999998e-06
480600 2.363375e-06
484200 1.1223333333333334e-06
487800 7.554166666666667e-07
491400 6.79875e-07
495000 6.79875e-07
498600 2.082791666666667e-06
502200 8.741250000000001e-07
505800 1.6295416666666668e-06
509400 1.7266666666666668e-07
513000 3.669166666666667e-07
516600 3.669166666666667e-07
520200 7.014583333333334e-07
523800 7.338333333333334e-07
527400 0.0
531000 0.0
534600 0.0
538200 3.129583333333333e-07
541800 1.7482500000000002e-06
545400 3.6799583333333336e-06
549000 1.9425e-06
552600 1.7266666666666668e-07
556200 1.068375e-06
559800 2.2770416666666663e-06
563400 2.1691249999999998e-06
567000 2.363375e-06
570600 1.1223333333333334e-06
574200 7.554166666666667e-07
577800 6.79875e-07
581400 6.79875e-07
585000 2.082791666666667e-06
588600 8.741250000000001e-07
592200 1.6295416666666668e-06
595800 1.7266666666666668e-07
599400 3.669166666666667e-07
603000 3.669166666666667e-07
606600 7.014583333333334e-07
610200 7.338333333333334e-07
613800 0.0
617400 0.0
621000 0.0
624600 3.129583333333333e-07
628200 1.7482500000000002e-06
631800 3.6799583333333336e-06
635400 1.9425e-06
639000 1.7266666666666668e-07
642600 1.068375e-06
646200 2.2770416666666663e-06
649800 2.1691249999999998e-06
653400 2.363375e-06
657000 1.1223333333333334e-06
660600 7.554166666666667e-07
664200 6.79875e-07
667800 6.79875e-07
671400 2.082791666666667e-06
675000 8.741250000000001e-07
678600 1.6295416666666668e-06
682200 1.7266666666666668e-07
685800 3.669166666666667e-07
689400 3.669166666666667e-07
693000 7.014583333333334e-07
696600 7.338333333333334e-07
700200 0.0
703800 0.0
707400 0.0
711000 3.129583333333333e-07
714600 1.7482500000000002e-06
718200 3.6799583333333336e-06
721800 1.9425e-06
725400 1.7266666666666668e-07
729000 1.068375e-06
732600 2.2770416666666663e-06
736200 2.1691249999999998e-06
739800 2.363375e-06
743400 1.1223333333333334e-06
747000 7.554166666666667e-07
750600 6.79875e-07
754200 6.79875e-07
757800 2.082791666666667e-06
761400 8.741250000000001e-07
765000 1.6295416666666668e-06
768600 1.7266666666666668e-07
772200 3.669166666666667e-07
775800 3.669166666666667e-07
779400 7.014583333333334e-07
783000 7.338333333333334e-07
786600 0.0
790200 0.0
793800 0.0
797400 3.129583333333333e-07
801000 1.7482500000000002e-06
804600 3.6799583333333336e-06
808200 1.9425e-06
811800 1.7266666666666668e-07
815400 1.068375e-06
819000 2.2770416666666663e-06
822600 2.1691249999999998e-06
826200 2.363375e-06
829800 1.1223333333333334e-06
833400 7.554166666666667e-07
837000 6.79875e-07
840600 6.79875e-07
844200 2.082791666666667e-06
847800 8.741250000000001e-07
851400 1.6295416666666668e-06
855000 1.7266666666666668e-07
858600 3.669166666666667e-07
862200 3.669166666666667e-07
865800 7.014583333333334e-07
869400 7.338333333333334e-07
873000 0.0
876600 0.0
880200 0.0
883800 3.129583333333333e-07
887400 1.7482500000000002e-06
891000 3.6799583333333336e-06
894600 1.9425e-06
898200 1.7266666666666668e-07
901800 1.068375e-06
905400 2.2770416666666663e-06
909000 2.1691249999999998e-06
912600 2.363375e-06
916200 1.1223333333333334e-06
919800 7.554166666666667e-07
923400 6.79875e-07
927000 6.79875e-07
930600 2.082791666666667e-06
934200 8.741250000000001e-07
937800 1.6295416666666668e-06
941400 1.7266666666666668e-07
945000 3.669166666666667e-07
948600 3.669166666666667e-07
952200 7.014583333333334e-07
955800 7.338333333333334e-07
959400 0.0
963000 0.0
966600 0.0
970200 3.129583333333333e-07
973800 1.7482500000000002e-06
977400 3.6799583333333336e-06
981000 1.9425e-06
984600 1.7266666666666668e-07
988200 1.068375e-06
991800 2.2770416666666663e-06
995400 2.1691249999999998e-06
999000 2.363375e-06
1002600 1.1223333333333334e-06
1006200 7.554166666666667e-07
1009800 6.79875e-07
1013400 6.79875e-07
1017000 2.082791666666667e-06
1020600 8.741250000000001e-07
1024200 1.6295416666666668e-06
1027800 1.7266666666666668e-07
1031400 3.669166666666667e-07
1035000 3.669166666666667e-07
1038600 7.014583333333334e-07
1042200 7.338333333333334e-07
1045800 0.0
1049400 0.0
1053000 0.0
1056600 3.129583333333333e-07
1060200 1.7482500000000002e-06
1063800 3.6799583333333336e-06
1067400 1.9425e-06
1071000 1.7266666666666668e-07
1074600 1.068375e-06
1078200 2.2770416666666663e-06
1081800 2.1691249999999998e-06
1085400 2.363375e-06
1089000 1.1223333333333334e-06
1092600 7.554166666666667e-07
1096200 6.79875e-07
1099800 6.79875e-07
1103400 2.082791666666667e-06
1107000 8.741250000000001e-07
1110600 1.6295416666666668e-06
1114200 1.7266666666666668e-07
1117800 3.669166666666667e-07
1121400 3.669166666666667e-07
1125000 7.014583333333334e-07
1128600 7.338333333333334e-07
1132200 0.0
1135800 0.0
1139400 0.0
1143000 3.129583333333333e-07
1146600 1.7482500000000002e-06
1150200 3.6799583333333336e-06
1153800 1.9425e-06
1157400 1.7266666666666668e-07
1161000 1.068375e-06
1164600 2.2770416666666663e-06
1168200 2.1691249999999998e-06
1171800 2.363375e-06
1175400 1.1223333333333334e-06
1179000 7.554166666666667e-07
1182600 6.79875e-07
1186200 6.79875e-07
1189800 2.082791666666667e-06
1193400 8.741250000000001e-07
1197000 1.6295416666666668e-06
1200600 1.7266666666666668e-07
1204200 3.669166666666667e-07
1207800 3.669166666666667e-07
1211400 7.014583333333334e-07
1215000 7.338333333333334e-07
1218600 0.0
1222200 0.0
1225800 0.0
1229400 3.129583333333333e-07
1233000 1.7482500000000002e-06
1236600 3.6799583333333336e-06
1240200 1.9425e-06
1243800 1.7266666666666668e-07
1247400 1.068375e-06
1251000 2.2770416666666663e-06
1254600 2.1691249999999998e-06
1258200 2.363375e-06
1261800 1.1223333333333334e-06
1265400 7.554166666666667e-07
1269000 6.79875e-07
1272600 6.79875e-07
1276200 2.082791666666667e-06
1279800 8.741250000000001e-07
1283400 1.6295416666666668e-06
