#1
double DTIE(30661,2)
0.0 0
1800.0 0
1800.0 1
1812.62625 1
1812.62625 0
5400.0 0
5400.0 1
5413.209 1
5413.209 0
19800.0 0
19800.0 1
19805.63325 1
19805.63325 0
23400.0 0
23400.0 1
23431.4685 1
23431.4685 0
27000.0 0
27000.0 1
27066.23925 1
27066.23925 0
30600.0 0
30600.0 1
30634.965 1
30634.965 0
34200.0 0
34200.0 1
34203.108 1
34203.108 0
37800.0 0
37800.0 1
37819.23075 1
37819.23075 0
41400.0 0
41400.0 1
41440.98675 1
41440.98675 0
45000.0 0
45000.0 1
45039.04425 1
45039.04425 0
48600.0 0
48600.0 1
48642.54075 1
48642.54075 0
52200.0 0
52200.0 1
52220.202 1
52220.202 0
55800.0 0
55800.0 1
55813.5975 1
55813.5975 0
59400.0 0
59400.0 1
59412.23775 1
59412.23775 0
63000.0 0
63000.0 1
63012.23775 1
63012.23775 0
66600.0 0
66600.0 1
66637.49025 1
66637.49025 0
70200.0 0
70200.0 1
70215.73425 1
70215.73425 0
73800.0 0
73800.0 1
73829.33175 1
73829.33175 0
77400.0 0
77400.0 1
77403.108 1
77403.108 0
81000.0 0
81000.0 1
81006.6045 1
81006.6045 0
84600.0 0
84600.0 1
84606.6045 1
84606.6045 0
88200.0 0
88200.0 1
88212.62625 1
88212.62625 0
91800.0 0
91800.0 1
91813.209 1
91813.209 0
106200.0 0
106200.0 1
106205.63325 1
106205.63325 0
109800.0 0
109800.0 1
109831.4685 1
109831.4685 0
113400.0 0
113400.0 1
113466.23925 1
113466.23925 0
117000.0 0
117000.0 1
117034.965 1
117034.965 0
120600.0 0
120600.0 1
120603.108 1
120603.108 0
124200.0 0
124200.0 1
124219.23075 1
124219.23075 0
127800.0 0
127800.0 1
127840.98675 1
127840.98675 0
131400.0 0
131400.0 1
131439.04425 1
131439.04425 0
135000.0 0
135000.0 1
135042.54075 1
135042.54075 0
138600.0 0
138600.0 1
138620.202 1
138620.202 0
142200.0 0
142200.0 1
142213.5975 1
142213.5975 0
145800.0 0
145800.0 1
145812.23775 1
145812.23775 0
149400.0 0
149400.0 1
149412.23775 1
149412.23775 0
153000.0 0
153000.0 1
153037.49025 1
153037.49025 0
156600.0 0
156600.0 1
156615.73425 1
156615.73425 0
160200.0 0
160200.0 1
160229.33175 1
160229.33175 0
163800.0 0
163800.0 1
163803.108 1
163803.108 0
167400.0 0
167400.0 1
167406.6045 1
167406.6045 0
171000.0 0
171000.0 1
171006.6045 1
171006.6045 0
174600.0 0
174600.0 1
174612.62625 1
174612.62625 0
178200.0 0
178200.0 1
178213.209 1
178213.209 0
192600.0 0
192600.0 1
192605.63325 1
192605.63325 0
196200.0 0
196200.0 1
196231.4685 1
196231.4685 0
199800.0 0
199800.0 1
199866.23925 1
199866.23925 0
203400.0 0
203400.0 1
203434.965 1
203434.965 0
207000.0 0
207000.0 1
207003.108 1
207003.108 0
210600.0 0
210600.0 1
210619.23075 1
210619.23075 0
214200.0 0
214200.0 1
214240.98675 1
214240.98675 0
217800.0 0
217800.0 1
217839.04425 1
217839.04425 0
221400.0 0
221400.0 1
221442.54075 1
221442.54075 0
225000.0 0
225000.0 1
225020.202 1
225020.202 0
228600.0 0
228600.0 1
228613.5975 1
228613.5975 0
232200.0 0
232200.0 1
232212.23775 1
232212.23775 0
235800.0 0
235800.0 1
235812.23775 1
235812.23775 0
239400.0 0
239400.0 1
239437.49025 1
239437.49025 0
243000.0 0
243000.0 1
243015.73425 1
243015.73425 0
246600.0 0
246600.0 1
246629.33175 1
246629.33175 0
250200.0 0
250200.0 1
250203.108 1
250203.108 0
253800.0 0
253800.0 1
253806.6045 1
253806.6045 0
257400.0 0
257400.0 1
257406.6045 1
257406.6045 0
261000.0 0
261000.0 1
261012.62625 1
261012.62625 0
264600.0 0
264600.0 1
264613.209 1
264613.209 0
279000.0 0
279000.0 1
279005.63325 1
279005.63325 0
282600.0 0
282600.0 1
282631.4685 1
282631.4685 0
286200.0 0
286200.0 1
286266.23925 1
286266.23925 0
289800.0 0
289800.0 1
289834.965 1
289834.965 0
293400.0 0
293400.0 1
293403.108 1
293403.108 0
297000.0 0
297000.0 1
297019.23075 1
297019.23075 0
300600.0 0
300600.0 1
300640.98675 1
300640.98675 0
304200.0 0
304200.0 1
304239.04425 1
304239.04425 0
307800.0 0
307800.0 1
307842.54075 1
307842.54075 0
311400.0 0
311400.0 1
311420.202 1
311420.202 0
315000.0 0
315000.0 1
315013.5975 1
315013.5975 0
318600.0 0
318600.0 1
318612.23775 1
318612.23775 0
322200.0 0
322200.0 1
322212.23775 1
322212.23775 0
325800.0 0
325800.0 1
325837.49025 1
325837.49025 0
329400.0 0
329400.0 1
329415.73425 1
329415.73425 0
333000.0 0
333000.0 1
333029.33175 1
333029.33175 0
336600.0 0
336600.0 1
336603.108 1
336603.108 0
340200.0 0
340200.0 1
340206.6045 1
340206.6045 0
343800.0 0
343800.0 1
343806.6045 1
343806.6045 0
347400.0 0
347400.0 1
347412.62625 1
347412.62625 0
351000.0 0
351000.0 1
351013.209 1
351013.209 0
365400.0 0
365400.0 1
365405.63325 1
365405.63325 0
369000.0 0
369000.0 1
369031.4685 1
369031.4685 0
372600.0 0
372600.0 1
372666.23925 1
372666.23925 0
376200.0 0
376200.0 1
376234.965 1
376234.965 0
379800.0 0
379800.0 1
379803.108 1
379803.108 0
383400.0 0
383400.0 1
383419.23075 1
383419.23075 0
387000.0 0
387000.0 1
387040.98675 1
387040.98675 0
390600.0 0
390600.0 1
390639.04425 1
390639.04425 0
394200.0 0
394200.0 1
394242.54075 1
394242.54075 0
397800.0 0
397800.0 1
397820.202 1
397820.202 0
401400.0 0
401400.0 1
401413.5975 1
401413.5975 0
405000.0 0
405000.0 1
405012.23775 1
405012.23775 0
408600.0 0
408600.0 1
408612.23775 1
408612.23775 0
412200.0 0
412200.0 1
412237.49025 1
412237.49025 0
415800.0 0
415800.0 1
415815.73425 1
415815.73425 0
419400.0 0
419400.0 1
419429.33175 1
419429.33175 0
423000.0 0
423000.0 1
423003.108 1
423003.108 0
426600.0 0
426600.0 1
426606.6045 1
426606.6045 0
430200.0 0
430200.0 1
430206.6045 1
430206.6045 0
433800.0 0
433800.0 1
433812.62625 1
433812.62625 0
437400.0 0
437400.0 1
437413.209 1
437413.209 0
451800.0 0
451800.0 1
451805.63325 1
451805.63325 0
455400.0 0
455400.0 1
455431.4685 1
455431.4685 0
459000.0 0
459000.0 1
459066.23925 1
459066.23925 0
462600.0 0
462600.0 1
462634.965 1
462634.965 0
466200.0 0
466200.0 1
466203.108 1
466203.108 0
469800.0 0
469800.0 1
469819.23075 1
469819.23075 0
473400.0 0
473400.0 1
473440.98675 1
473440.98675 0
477000.0 0
477000.0 1
477039.04425 1
477039.04425 0
480600.0 0
480600.0 1
480642.54075 1
480642.54075 0
484200.0 0
484200.0 1
484220.202 1
484220.202 0
487800.0 0
487800.0 1
487813.5975 1
487813.5975 0
491400.0 0
491400.0 1
491412.23775 1
491412.23775 0
495000.0 0
495000.0 1
495012.23775 1
495012.23775 0
498600.0 0
498600.0 1
498637.49025 1
498637.49025 0
502200.0 0
502200.0 1
502215.73425 1
502215.73425 0
505800.0 0
505800.0 1
505829.33175 1
505829.33175 0
509400.0 0
509400.0 1
509403.108 1
509403.108 0
513000.0 0
513000.0 1
513006.6045 1
513006.6045 0
516600.0 0
516600.0 1
516606.6045 1
516606.6045 0
520200.0 0
520200.0 1
520212.62625 1
520212.62625 0
523800.0 0
523800.0 1
523813.209 1
523813.209 0
538200.0 0
538200.0 1
538205.63325 1
538205.63325 0
541800.0 0
541800.0 1
541831.4685 1
541831.4685 0
545400.0 0
545400.0 1
545466.23925 1
545466.23925 0
549000.0 0
549000.0 1
549034.965 1
549034.965 0
552600.0 0
552600.0 1
552603.108 1
552603.108 0
556200.0 0
556200.0 1
556219.23075 1
556219.23075 0
559800.0 0
559800.0 1
559840.98675 1
559840.98675 0
563400.0 0
563400.0 1
563439.04425 1
563439.04425 0
567000.0 0
567000.0 1
567042.54075 1
567042.54075 0
570600.0 0
570600.0 1
570620.202 1
570620.202 0
574200.0 0
574200.0 1
574213.5975 1
574213.5975 0
577800.0 0
577800.0 1
577812.23775 1
577812.23775 0
581400.0 0
581400.0 1
581412.23775 1
581412.23775 0
585000.0 0
585000.0 1
585037.49025 1
585037.49025 0
588600.0 0
588600.0 1
588615.73425 1
588615.73425 0
592200.0 0
592200.0 1
592229.33175 1
